项目名称,项目编号,负责人工号,承担单位,联合承担单位,立项时间,立项年度,计划完成日期,项目分类,项目子类,合同金额,科研认领金额,财务上账金额,审核状态,立项途径,合同状态
超高脉冲功率电容器陶瓷储能介质研究,2118Y31031A,7060709 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2019-10-31,类别2,子类1,50,45,45,财务通过，立项完成,直接立项,进行中
太赫兹***,2118H28361A,5224730 ,电子科学与工程学院（示范性微电子学院）,,2018-11-01,2018,2020-11-01,类别2,子类1,180,162,162,财务通过，立项完成,直接立项,进行中
********************研究与评估,2118H21321A,7171694 ,光电科学与工程学院,,2018-11-01,2018,2019-05-31,类别2,子类1,80,72,72,财务通过，立项完成,直接立项,进行中
极限信噪比环境下的语音增强识别技术,2118Y11531A,7130600 ,信息与软件工程学院（示范性软件学院）,,2018-11-01,2018,2019-10-31,类别2,子类1,60,54,54,财务通过，立项完成,直接立项,进行中
×××××,2118Y21251A,7140680 ,生命科学与技术学院,成都信息工程大学,2018-10-31,2018,2020-12-31,类别2,子类1,100,0,0,学校通过,直接立项,进行中
新时代网络强国的理论和实践研究,18JF192,5221279 ,马克思主义学院,,2018-10-31,2018,2020-12-31,教育部人文社会科学研究项目,一般项目,2,0,0,学校通过,直接立项,进行中
******技术,2118H11033A,5224385 ,信息与通信工程学院,,2018-10-31,2018,2019-09-30,类别2,子类1,60,50,50,财务通过，立项完成,直接立项,进行中
生命历程视角下凉山彝族世代贫困的生成机理及治理研究,SC18A005,7110728 ,公共管理学院,,2018-10-31,2018,2019-12-31,四川省哲学社会科学规划项目,重点项目,2,2,2,财务通过，立项完成,直接立项,进行中
舞蹈音乐训练对共情能力影响的神经机制研究,SC18B035,7090767 ,党委学生工作部（学生工作处、武装部）,,2018-10-31,2018,2019-04-30,四川省哲学社会科学规划项目,一般项目,1.5,1.5,1.5,财务通过，立项完成,直接立项,进行中
基于深度学习的雷达脉冲流数据处理理论与方法研究,CEMEE2019Z0102B,7160602 ,信息与通信工程学院,,2018-10-30,2018,2019-09-30,实验室基金（校外）,实验室基金（一般类）,9,9,9,财务通过，立项完成,直接立项,进行中
基于复杂网络的供应链金融违约风险评价与策略研究,SC18B034,7080653 ,经济与管理学院,,2018-10-30,2018,2019-10-31,四川省哲学社会科学规划项目,一般项目,1.5,1.5,1.5,财务通过，立项完成,直接立项,进行中
应用于卫星通信等高性能极高频宽带可重构滤波器研究,2018HH0155,7160597 ,信息与通信工程学院,,2018-10-30,2018,2020-07-01,四川省科技计划项目,国际合作,20,20,20,财务通过，立项完成,直接立项,进行中
思政课程与课程思政协同育人研究,SC18C008,7182741 ,马克思主义学院,,2018-10-29,2018,2019-10-29,四川省哲学社会科学规划项目,其他项目,1.5,1.5,1.5,财务通过，立项完成,直接立项,进行中
基于场发射的电推进中和器阴极电子源技术研究,2019-5100-07-000030,5221954 ,光电科学与工程学院,,2018-10-25,2018,2020-10-30,实验室基金（校外）,实验室基金（一般类）,15,12,12,财务通过，立项完成,直接立项,进行中
可延展柔性无机薄膜传感器,61825102,7100773 ,材料与能源学院,,2018-10-25,2018,2023-12-31,国家自然科学基金,国家杰出青年科学基金,350,290,280,财务通过，立项完成,直接立项,进行中
新型数据管理系统,61832001,7160676 ,计算机科学与工程学院（网络空间安全学院）,,2018-10-24,2018,2023-12-31,国家自然科学基金,重点项目,86.7,43.35,43.35,财务通过，立项完成,直接立项,进行中
飞行器通信天线隐身综合优化技术研究,14HT190801A,5223454 ,电子科学与工程学院（示范性微电子学院）,,2018-10-23,2018,2020-12-31,类别1,子类8,50,50,48.54369,财务通过，立项完成,直接立项,进行中
成都市道路交通拥塞研判与控制策略研究,2017-RK00-00021-ZF,7110798 ,计算机科学与工程学院（网络空间安全学院）,,2018-10-23,2018,2019-08-23,成都市科技项目,软科学研究项目,5,5,5,财务通过，立项完成,直接立项,进行中
双极化******单元设计,2118H48101A,7120704 ,电子科学与工程学院（示范性微电子学院）,,2018-10-20,2018,2020-12-31,类别2,子类1,100,90,90,财务通过，立项完成,直接立项,进行中
二维********探测器,2118H41026A,7140693 ,光电科学与工程学院,,2018-10-20,2018,2019-06-30,类别2,子类1,50,45,45,财务通过，立项完成,直接立项,进行中
监管监察信息动态采集可信保障与分析技术及装备,2018YFC0808302,5224790 ,信息与通信工程学院,,2018-10-17,2018,2020-06-30,国家重点研发计划,参与课题,70,70,70,财务通过，立项完成,直接立项,进行中
XXXX技术研究,2018A072,7190650 ,计算机科学与工程学院（网络空间安全学院）,,2018-10-17,2018,2019-10-17,其他科技项目,高新类,80,80,77.669904,财务通过，立项完成,直接立项,进行中
****关键技术研究,2118Y24111A,7080750 ,航空航天学院,,2018-10-08,2018,2020-12-31,类别2,子类1,80,72,72,财务通过，立项完成,直接立项,进行中
XXXXXXXXXXX研究B,2118H36082A,5223758 ,信息与通信工程学院,,2018-10-08,2018,2019-12-02,类别2,子类1,600,90,90,财务通过，立项完成,直接立项,进行中
XXXX技术,2118H49054A,7060594 ,信息与通信工程学院,,2018-10-08,2018,2020-11-30,类别2,子类1,300,270,270,财务通过，立项完成,直接立项,进行中
XXXX方法研究,2118H43171A,7172726 ,信息与通信工程学院,,2018-10-08,2018,2019-12-31,类别2,子类1,200,180,180,财务通过，立项完成,直接立项,进行中
XXXX方法,2118H43072A,7172726 ,信息与通信工程学院,,2018-10-08,2018,2019-07-31,类别2,子类1,50,45,45,财务通过，立项完成,直接立项,进行中
完善机关事业单位职业年金制度的路径选择与机制优化研究,18XJC840003,7150638 ,公共管理学院,,2018-10-01,2018,2020-12-31,教育部人文社会科学研究项目,一般项目,8,0,0,学校通过,直接立项,进行中
XXX分析理解技术,2118Y15226A,7120642 ,航空航天学院,,2018-10-01,2018,2019-09-30,类别2,子类1,50,45,45,财务通过，立项完成,直接立项,进行中
XXXX项目,2118Y21251A,7140680 ,生命科学与技术学院,,2018-10-01,2018,2020-12-31,类别2,子类1,100,90,90,财务通过，立项完成,直接立项,进行中
XXX项目,2118Y21021A,7172740 ,生命科学与技术学院,,2018-10-01,2018,2020-12-31,类别2,子类1,200,180,180,财务通过，立项完成,直接立项,进行中
XXX研究,2118Y21211A,5225134 ,生命科学与技术学院,,2018-10-01,2018,2020-12-31,类别2,子类1,800,720,720,财务通过，立项完成,直接立项,进行中
XXX项目,2118Y21231A,8190612 ,生命科学与技术学院,,2018-10-01,2018,2020-12-31,类别2,子类1,100,90,90,财务通过，立项完成,直接立项,进行中
基于脑波音乐的神经反馈系统,2118Y22481A,5230612 ,生命科学与技术学院,成都信息工程大学,2018-10-01,2018,2020-12-31,类别2,子类1,100,90,90,财务通过，立项完成,直接立项,进行中
太赫兹成像发射机高速调频驱动源研制,2018YFF01013001,5230909 ,电子科学与工程学院（示范性微电子学院）,,2018-10-01,2018,2021-09-30,国家重点研发计划,课题,145,123.25,123.25,财务通过，立项完成,直接立项,进行中
***机理研究,2118H14011A,7120644 ,计算机科学与工程学院（网络空间安全学院）,,2018-10-01,2018,2019-05-31,类别2,子类1,45,40,40,财务通过，立项完成,直接立项,进行中
太赫兹宽带低变频损耗谐波混频探测器研制,2018YFF0109702,7090623 ,电子科学与工程学院（示范性微电子学院）,,2018-10-01,2018,2021-09-30,国家重点研发计划,课题,55,11,11,财务通过，立项完成,直接立项,进行中
基于xx的xx技术,2118Y15112A,5225229 ,航空航天学院,,2018-10-01,2018,2019-06-30,类别2,子类1,30,27,27,财务通过，立项完成,直接立项,进行中
*****平台搭建及示范应用,2118Y15016B,8140657 ,大数据研究中心,,2018-10-01,2018,2019-09-30,类别2,子类1,100,90,90,财务通过，立项完成,直接立项,进行中
基于心率实时精准控制的高效体能训练技术研究,2118Y11002A,7160620 ,航空航天学院,,2018-10-01,2018,2019-09-30,类别2,子类1,15,13.5,13.5,财务通过，立项完成,直接立项,进行中
XXX综合电子一体化技术研究,2118H83133A,7120642 ,航空航天学院,,2018-10-01,2018,2019-10-31,类别2,子类1,60,54,54,财务通过，立项完成,直接立项,进行中
***研究,2118H13014A,5224602 ,信息与通信工程学院,,2018-10-01,2018,2019-02-28,类别2,子类1,50,25,25,财务通过，立项完成,直接立项,进行中
面向xx无人协同xx决策架构技术,2118H13042A,7100818 ,计算机科学与工程学院（网络空间安全学院）,,2018-10-01,2018,2019-08-31,类别2,子类1,90,80,80,财务通过，立项完成,直接立项,进行中
单片集成光电微显示芯片研究,2118H41063A,7160737 ,电子科学与工程学院（示范性微电子学院）,,2018-10-01,2018,2019-06-30,类别2,子类1,60,54,54,财务通过，立项完成,直接立项,进行中
XXX通信技术,33MH180206A,7080639 ,通信抗干扰技术国家级重点实验室,中国航天科技集团公司五院第五〇三研究所,2018-09-30,2018,2022-12-31,类别7,子类4,600,0,341,学校通过,直接立项,进行中
跨媒体智能感知与分析,2018GZDZX0032,7160682 ,计算机科学与工程学院（网络空间安全学院）,,2018-09-30,2018,2020-09-30,四川省科技计划项目,重大专项,20,20,20,财务通过，立项完成,直接立项,进行中
智能家居系统关键技术研究,2018GZDZX0038,5222364 ,信息与软件工程学院（示范性软件学院）,,2018-09-30,2018,2020-09-30,四川省科技计划项目,重点研发计划,12.5,12.5,12.5,财务通过，立项完成,直接立项,进行中
面向低空无人机自主导航系统研发,2018-YF08-00039-GX,5230687 ,计算机科学与工程学院（网络空间安全学院）,,2018-09-30,2018,2020-12-31,成都市科技项目,产业集群创新发展研究项目,60,60,60,财务通过，立项完成,直接立项,进行中
航空大部件模块化交付,2018GZDZX0019,5231084 ,航空航天学院,,2018-09-30,2018,2020-09-30,四川省科技计划项目,重大专项,160,160,160,财务通过，立项完成,直接立项,进行中
成都市优秀人才培养计划,20161211RC,5225168 ,机械与电气工程学院,,2018-09-30,2018,2020-12-31,成都市科技项目,成都市优秀人才培养计划,30,30,30,财务通过，立项完成,直接立项,进行中
《信息中心网络的部署的要求》等5项国际标准项目研制工作,MIIT2017489,5223253 ,信息与通信工程学院,,2018-09-30,2018,2027-06-01,国际科技合作与交流专项,科技部国际合作交流专项,12.6,12.6,12.23301,财务通过，立项完成,直接立项,进行中
XX电池技术,62EP1820403,7090817 ,材料与能源学院,,2018-09-30,2018,2019-03-31,类别6,子类5,30,30,30,财务通过，立项完成,直接立项,进行中
循证矫正策略与推荐技术与装备研究,2018YFC0831000,7100727 ,信息与通信工程学院,,2018-09-30,2018,2021-07-01,国家重点研发计划,参与课题,47.7,47.7,47.7,财务通过，立项完成,直接立项,进行中
海杂波背景下低空弱目标检测技术,14HK160012A,5224620 ,信息与通信工程学院,,2018-09-27,2018,2018-12-31,类别1,子类9,12,10,9.825243,财务通过，立项完成,直接立项,进行中
中国高等教育学会数字化课程资源研究分会 《2018年高等教育改革发展专题观察报告》,2018ZT021,5225231 ,外国语学院,,2018-09-19,2018,2019-12-31,其他社科类项目,其他社科类项目,1,1,.970874,财务通过，立项完成,直接立项,进行中
基于空间计量模型的成都社区分异与公共服务设施空间配置公平性研究,2017-PK00-00417-ZF,7080729 ,公共管理学院,,2018-09-18,2018,2019-11-30,成都市科技项目,软科学研究项目,5,5,5,财务通过，立项完成,直接立项,进行中
成都人才政策比较研究,2017-RK00-00432-ZF,7150646 ,公共管理学院,,2018-09-18,2018,2020-01-01,成都市科技项目,软科学研究项目,10,10,10,财务通过，立项完成,直接立项,进行中
“互联网+”智慧旅游的智能导览系统集成与示范,2017-GH02-00091-HZ,7100841 ,机械与电气工程学院,,2018-09-18,2018,2020-12-31,成都市科技项目,国际科技合作资助,20,20,20,财务通过，立项完成,直接立项,进行中
多模态/多属性甲状腺超声影像大数据自主标注及学习,61876158,4210669 ,医学院,西南交通大学,2018-09-17,2018,2022-12-31,国家自然科学基金,面上项目,62,6.2,6.2,财务通过，立项完成,直接立项,进行中
低空域无人机探测与防范系统关键技术研究,2018GZDZX0023,5230911 ,信息与通信工程学院,,2018-09-15,2018,2020-09-15,四川省科技计划项目,重大专项,50,50,50,财务通过，立项完成,直接立项,进行中
干扰抑制软件,13HT170102B,7110624 ,通信抗干扰技术国家级重点实验室,,2018-09-10,2018,2019-09-30,类别6,子类7,39.8,39.8,39.8,财务通过，立项完成,直接立项,进行中
大数据下大学生社交网络行为分析,CJSFZ18-37,7060677 ,信息与软件工程学院（示范性软件学院）,,2018-09-06,2018,2019-09-06,其他社科类项目,其他社科类项目,0.4,0,0,学校通过,直接立项,进行中
高校校友信息管理中大数据运用及其法律风险防控研究,2017XYZD10,5230943 ,电子科学与工程学院（示范性微电子学院）,,2018-09-04,2018,2020-09-03,其他社科类项目,其他社科类项目,1,1,.970874,财务通过，立项完成,直接立项,进行中
